=========================================
Configuration:
=========================================
  Number of shards:  1
  Shard index:       0
  Number of threads: 6
  Cluster:           p2
  Micro benchmark:   disabled
  Replicated mode:   enabled
=========================================
20251107-11:09.05-713042(us) 17831 * ParseOldFormat  (configuration.cc:66): Using old configuration format
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:78] 2025-12-07 11:09:05.713 | PWD : /opt/actions-runner/_work/mako-fast-reads/mako-fast-reads
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:276] 2025-12-07 11:09:05.713 | starting process 17831
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/config.cc:290] 2025-12-07 11:09:05.713 | LoadYML: config/1leader_2followers/paxos6_shardidx0.yml
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/config.cc:290] 2025-12-07 11:09:05.713 | LoadYML: config/occ_paxos.yml
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:285] 2025-12-07 11:09:05.714 | server_infos, number of sites: 6, proc_name: p2
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:291] 2025-12-07 11:09:05.719 | parition id of each Paxos group is 5, site-name: s306, site-id: 22
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:291] 2025-12-07 11:09:05.725 | parition id of each Paxos group is 4, site-name: s305, site-id: 18
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:291] 2025-12-07 11:09:05.731 | parition id of each Paxos group is 3, site-name: s304, site-id: 14
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:291] 2025-12-07 11:09:05.737 | parition id of each Paxos group is 2, site-name: s303, site-id: 10
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:291] 2025-12-07 11:09:05.743 | parition id of each Paxos group is 1, site-name: s302, site-id: 6
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:291] 2025-12-07 11:09:05.749 | parition id of each Paxos group is 0, site-name: s301, site-id: 2
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:297] 2025-12-07 11:09:05.749 | running machine-id: 2
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:92] 2025-12-07 11:09:05.749 | launching site: 2, bind address 0.0.0.0:17201
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:92] 2025-12-07 11:09:05.749 | launching site: 6, bind address 0.0.0.0:17202
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:92] 2025-12-07 11:09:05.749 | launching site: a, bind address 0.0.0.0:17203
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:92] 2025-12-07 11:09:05.749 | launching site: e, bind address 0.0.0.0:17204
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_worker.cc:198] 2025-12-07 11:09:05.749 | [service]loc_id: 2, name: s301, proc: p2, id: 2
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:92] 2025-12-07 11:09:05.749 | launching site: 12, bind address 0.0.0.0:17205
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_worker.cc:198] 2025-12-07 11:09:05.749 | [service]loc_id: 2, name: s302, proc: p2, id: 6
starting server at 0.0.0.0:17201
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:106] 2025-12-07 11:09:05.749 | waiting for server setup threads.
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_main_helper.cc:92] 2025-12-07 11:09:05.749 | launching site: 16, bind address 0.0.0.0:17206
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_worker.cc:221] 2025-12-07 11:09:05.749 | Server s301 ready at 0.0.0.0:17201
starting server at 0.0.0.0:17202
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/paxos_worker.cc:198] 2025-12-07 11:09:05.749 | [service]loc_id: 2, name: s304, proc: p2, id: 14
I [/opt/actions-runner/_work/mako-fast-reads/mako-fast-reads/src/deptran/communicator.cc:14] 2025-12-07 11:09:05.749 | setup paxos communicator
